Job Title,code,type,2016 Employment,2026 Employment,2016 %,2026 %,Change (#),Change (%),Openings,Level,ed_needed,Median Wage,Experience,OTJ Training
Interior designers,27-1025,Individual Jobs,66.5,69.5,0.0,0.0,2.9,4.4,6.5,4.0,Bachelor's degree,49810.0,None,None
Merchandise displayers and window trimmers,27-1026,Individual Jobs,141.4,146.0,0.1,0.1,4.6,3.2,13.6,4.0,High school diploma or equivalent,26700.0,None,Short-term on-the-job training
Set and exhibit designers,27-1027,Individual Jobs,14.6,16.1,0.0,0.0,1.5,10.3,1.6,4.0,Bachelor's degree,50990.0,None,None
"Designers, all other",27-1029,Individual Jobs,9.0,9.5,0.0,0.0,0.5,5.8,0.9,4.0,Bachelor's degree,53380.0,None,None
"Entertainers and performers, sports and related workers",27-2000,Job Categories,801.9,881.6,0.5,0.5,79.6,9.9,99.8,2.0,—,40870.0,—,—
"Actors, producers, and directors",27-2010,Job Categories,198.5,222.4,0.1,0.1,23.8,12.0,21.4,3.0,—,62850.0,—,—
Actors,27-2011,Individual Jobs,63.8,71.2,0.0,0.0,7.4,11.6,7.4,4.0,"Some college, no degree",0.0,None,Long-term on-the-job training
Producers and directors,27-2012,Individual Jobs,134.7,151.2,0.1,0.1,16.5,12.2,14.1,4.0,Bachelor's degree,70950.0,Less than 5 years,None
"Athletes, coaches, umpires, and related workers",27-2020,Job Categories,309.0,347.2,0.2,0.2,38.2,12.3,46.9,3.0,—,31440.0,—,—
Athletes and sports competitors,27-2021,Individual Jobs,11.8,12.7,0.0,0.0,0.9,7.5,1.7,4.0,No formal educational credential,47710.0,None,Long-term on-the-job training
Coaches and scouts,27-2022,Individual Jobs,276.1,311.7,0.2,0.2,35.7,12.9,42.1,4.0,Bachelor's degree,31460.0,None,None
"Umpires, referees, and other sports officials",27-2023,Individual Jobs,21.1,22.7,0.0,0.0,1.6,7.6,3.0,4.0,High school diploma or equivalent,25660.0,None,Moderate-term on-the-job training
Dancers and choreographers,27-2030,Job Categories,20.4,21.2,0.0,0.0,0.8,4.0,2.8,3.0,—,35060.0,—,—
Dancers,27-2031,Individual Jobs,13.5,14.1,0.0,0.0,0.6,4.6,1.9,4.0,No formal educational credential,0.0,None,Long-term on-the-job training
Choreographers,27-2032,Individual Jobs,6.9,7.1,0.0,0.0,0.2,2.8,0.9,4.0,High school diploma or equivalent,48240.0,5 years or more,Long-term on-the-job training
"Musicians, singers, and related workers",27-2040,Job Categories,247.3,261.9,0.2,0.2,14.7,5.9,25.5,3.0,—,0.0,—,—
Music directors and composers,27-2041,Individual Jobs,74.8,79.1,0.0,0.0,4.3,5.7,7.7,4.0,Bachelor's degree,50110.0,Less than 5 years,None
Musicians and singers,27-2042,Individual Jobs,172.4,182.8,0.1,0.1,10.4,6.0,17.8,4.0,No formal educational credential,0.0,None,Long-term on-the-job training
"Entertainers and performers, sports and related workers, all other",27-2099,Individual Jobs,26.7,28.9,0.0,0.0,2.2,8.1,3.2,3.0,No formal educational credential,0.0,None,Short-term on-the-job training
Media and communication workers,27-3000,Job Categories,774.8,818.0,0.5,0.5,43.2,5.6,78.2,2.0,—,54780.0,—,—
Announcers,27-3010,Job Categories,52.7,48.2,0.0,0.0,-4.5,-8.5,4.3,3.0,—,30830.0,—,—
Radio and television announcers,27-3011,Individual Jobs,41.3,36.5,0.0,0.0,-4.8,-11.6,3.2,4.0,Bachelor's degree,31400.0,None,None
Public address system and other announcers,27-3012,Individual Jobs,11.4,11.7,0.0,0.0,0.3,2.5,1.1,4.0,High school diploma or equivalent,28940.0,None,Short-term on-the-job training
"News analysts, reporters and correspondents",27-3020,Job Categories,50.4,45.9,0.0,0.0,-4.5,-8.9,4.2,3.0,—,38870.0,—,—
Broadcast news analysts,27-3021,Individual Jobs,5.7,5.6,0.0,0.0,0.0,-0.4,0.5,4.0,Bachelor's degree,56680.0,None,None
Reporters and correspondents,27-3022,Individual Jobs,44.7,40.2,0.0,0.0,-4.5,-10.0,3.7,4.0,Bachelor's degree,37820.0,None,None
Public relations specialists,27-3031,Individual Jobs,259.6,282.6,0.2,0.2,22.9,8.8,28.2,3.0,Bachelor's degree,58020.0,None,None
Writers and editors,27-3040,Job Categories,311.0,324.9,0.2,0.2,13.9,4.5,30.3,3.0,—,61550.0,—,—
Editors,27-3041,Individual Jobs,127.4,125.6,0.1,0.1,-1.8,-1.4,12.0,4.0,Bachelor's degree,57210.0,Less than 5 years,None
Technical writers,27-3042,Individual Jobs,52.4,58.1,0.0,0.0,5.7,11.0,5.7,4.0,Bachelor's degree,69850.0,Less than 5 years,Short-term on-the-job training
Writers and authors,27-3043,Individual Jobs,131.2,141.2,0.1,0.1,10.0,7.6,12.6,4.0,Bachelor's degree,61240.0,None,Long-term on-the-job training
Miscellaneous media and communication workers,27-3090,Job Categories,101.1,116.4,0.1,0.1,15.3,15.1,11.2,3.0,—,45460.0,—,—
Interpreters and translators,27-3091,Individual Jobs,68.2,80.3,0.0,0.0,12.1,17.7,7.8,4.0,Bachelor's degree,46120.0,None,None
"Media and communication workers, all other",27-3099,Individual Jobs,32.9,36.2,0.0,0.0,3.3,9.9,3.4,4.0,High school diploma or equivalent,43600.0,None,Short-term on-the-job training
Media and communication equipment workers,27-4000,Job Categories,362.5,374.1,0.2,0.2,11.6,3.2,32.7,2.0,—,45680.0,—,—
