Job Title,code,type,2016 Employment,2026 Employment,2016 %,2026 %,Change (#),Change (%),Openings,Level,ed_needed,Median Wage,Experience,OTJ Training
Supervisors of protective service workers,33-1000,Job Categories,284.2,295.3,0.2,0.2,11.1,3.9,21.6,2.0,—,67430.0,—,—
First-line supervisors of law enforcement workers,33-1010,Job Categories,149.9,153.3,0.1,0.1,3.4,2.3,9.5,3.0,—,77500.0,—,—
First-line supervisors of correctional officers,33-1011,Individual Jobs,45.2,41.7,0.0,0.0,-3.5,-7.8,2.5,4.0,High school diploma or equivalent,60560.0,Less than 5 years,None
First-line supervisors of police and detectives,33-1012,Individual Jobs,104.7,111.6,0.1,0.1,6.9,6.6,7.1,4.0,High school diploma or equivalent,84840.0,Less than 5 years,Moderate-term on-the-job training
First-line supervisors of fire fighting and prevention workers,33-1021,Individual Jobs,59.1,63.3,0.0,0.0,4.2,7.2,4.4,3.0,Postsecondary nondegree award,74540.0,Less than 5 years,Moderate-term on-the-job training
"First-line supervisors of protective service workers, all other",33-1099,Individual Jobs,75.2,78.7,0.0,0.0,3.5,4.6,7.7,3.0,High school diploma or equivalent,47820.0,Less than 5 years,None
Fire fighting and prevention workers,33-2000,Job Categories,341.4,366.3,0.2,0.2,24.9,7.3,25.9,2.0,—,48290.0,—,—
Firefighters,33-2011,Individual Jobs,327.3,350.9,0.2,0.2,23.5,7.2,24.3,3.0,Postsecondary nondegree award,48030.0,None,Long-term on-the-job training
Fire inspectors,33-2020,Job Categories,14.1,15.4,0.0,0.0,1.4,9.7,1.6,3.0,—,56130.0,—,—
Fire inspectors and investigators,33-2021,Individual Jobs,12.3,13.2,0.0,0.0,0.9,7.3,1.4,4.0,Postsecondary nondegree award,58440.0,5 years or more,Moderate-term on-the-job training
Forest fire inspectors and prevention specialists,33-2022,Individual Jobs,1.7,2.2,0.0,0.0,0.5,26.6,0.2,4.0,High school diploma or equivalent,36230.0,Less than 5 years,Moderate-term on-the-job training
Law enforcement workers,33-3000,Job Categories,1285.0,1300.1,0.8,0.8,15.2,1.2,91.0,2.0,—,53240.0,—,—
"Bailiffs, correctional officers, and jailers",33-3010,Job Categories,468.6,433.7,0.3,0.3,-34.9,-7.4,32.7,3.0,—,42820.0,—,—
Bailiffs,33-3011,Individual Jobs,18.6,18.2,0.0,0.0,-0.4,-2.1,1.4,4.0,High school diploma or equivalent,42670.0,None,Moderate-term on-the-job training
Correctional officers and jailers,33-3012,Individual Jobs,450.0,415.5,0.3,0.2,-34.5,-7.7,31.3,4.0,High school diploma or equivalent,42820.0,None,Moderate-term on-the-job training
Detectives and criminal investigators,33-3021,Individual Jobs,110.9,115.9,0.1,0.1,5.0,4.5,7.5,3.0,High school diploma or equivalent,78120.0,Less than 5 years,Moderate-term on-the-job training
Fish and game wardens,33-3031,Individual Jobs,7.0,7.3,0.0,0.0,0.3,4.3,0.7,3.0,Bachelor's degree,51730.0,None,Moderate-term on-the-job training
Parking enforcement workers,33-3041,Individual Jobs,9.4,6.1,0.0,0.0,-3.3,-35.3,0.4,3.0,High school diploma or equivalent,37950.0,None,Short-term on-the-job training
Police officers,33-3050,Job Categories,689.1,737.2,0.4,0.4,48.1,7.0,49.8,3.0,—,59750.0,—,—
Police and sheriff's patrol officers,33-3051,Individual Jobs,684.2,731.9,0.4,0.4,47.8,7.0,49.5,4.0,High school diploma or equivalent,59680.0,None,Moderate-term on-the-job training
Transit and railroad police,33-3052,Individual Jobs,4.9,5.3,0.0,0.0,0.3,6.3,0.4,4.0,High school diploma or equivalent,66610.0,None,Moderate-term on-the-job training
Other protective service workers,33-9000,Job Categories,1595.0,1702.1,1.0,1.0,107.0,6.7,258.6,2.0,—,25960.0,—,—
Animal control workers,33-9011,Individual Jobs,13.4,14.6,0.0,0.0,1.1,8.5,1.6,3.0,High school diploma or equivalent,34550.0,None,Moderate-term on-the-job training
Private detectives and investigators,33-9021,Individual Jobs,41.4,45.8,0.0,0.0,4.4,10.6,4.5,3.0,High school diploma or equivalent,48190.0,Less than 5 years,Moderate-term on-the-job training
Security guards and gaming surveillance officers,33-9030,Job Categories,1133.9,1205.0,0.7,0.7,71.0,6.3,158.9,3.0,—,25840.0,—,—
Gaming surveillance officers and gaming investigators,33-9031,Individual Jobs,10.7,11.1,0.0,0.0,0.4,3.5,1.4,4.0,High school diploma or equivalent,32630.0,Less than 5 years,Moderate-term on-the-job training
Security guards,33-9032,Individual Jobs,1123.3,1193.9,0.7,0.7,70.6,6.3,157.5,4.0,High school diploma or equivalent,25770.0,None,Short-term on-the-job training
Miscellaneous protective service workers,33-9090,Job Categories,406.2,436.7,0.3,0.3,30.5,7.5,93.6,3.0,—,25020.0,—,—
Crossing guards,33-9091,Individual Jobs,74.3,80.6,0.0,0.0,6.3,8.5,14.5,4.0,No formal educational credential,26700.0,None,Short-term on-the-job training
"Lifeguards, ski patrol, and other recreational protective service workers",33-9092,Individual Jobs,152.1,163.7,0.1,0.1,11.7,7.7,39.7,4.0,No formal educational credential,20290.0,None,Short-term on-the-job training
Transportation security screeners,33-9093,Individual Jobs,46.1,47.3,0.0,0.0,1.2,2.6,4.2,4.0,High school diploma or equivalent,39680.0,None,Short-term on-the-job training
"Protective service workers, all other",33-9099,Individual Jobs,133.8,145.1,0.1,0.1,11.3,8.4,35.2,4.0,High school diploma or equivalent,28720.0,None,Short-term on-the-job training
Food preparation and serving related occupations,35-0000,Job Categories,13206.1,14438.1,8.5,8.6,1232.0,9.3,2469.9,1.0,—,20810.0,—,—
Supervisors of food preparation and serving workers,35-1000,Job Categories,1083.4,1185.1,0.7,0.7,101.7,9.4,166.6,2.0,—,32790.0,—,—
Chefs and head cooks,35-1011,Individual Jobs,146.5,160.6,0.1,0.1,14.1,9.6,20.3,3.0,High school diploma or equivalent,43180.0,5 years or more,None
First-line supervisors of food preparation and serving workers,35-1012,Individual Jobs,936.9,1024.5,0.6,0.6,87.6,9.3,146.3,3.0,High school diploma or equivalent,31480.0,Less than 5 years,None
Cooks and food preparation workers,35-2000,Job Categories,3274.1,3490.3,2.1,2.1,216.2,6.6,515.7,2.0,—,22460.0,—,—
Cooks,35-2010,Job Categories,2403.0,2550.6,1.5,1.5,147.6,6.1,358.0,3.0,—,22850.0,—,—
"Cooks, fast food",35-2011,Individual Jobs,517.6,490.5,0.3,0.3,-27.1,-5.2,67.2,4.0,No formal educational credential,19860.0,None,Short-term on-the-job training
"Cooks, institution and cafeteria",35-2012,Individual Jobs,424.8,457.4,0.3,0.3,32.6,7.7,64.4,4.0,No formal educational credential,24750.0,None,Short-term on-the-job training
"Cooks, private household",35-2013,Individual Jobs,25.0,26.3,0.0,0.0,1.4,5.5,3.7,4.0,Postsecondary nondegree award,32060.0,Less than 5 years,None
"Cooks, restaurant",35-2014,Individual Jobs,1231.9,1377.2,0.8,0.8,145.3,11.8,195.3,4.0,No formal educational credential,24140.0,Less than 5 years,Moderate-term on-the-job training
"Cooks, short order",35-2015,Individual Jobs,185.9,179.7,0.1,0.1,-6.2,-3.3,24.7,4.0,No formal educational credential,21890.0,None,Short-term on-the-job training
"Cooks, all other",35-2019,Individual Jobs,17.8,19.4,0.0,0.0,1.6,9.0,2.7,4.0,No formal educational credential,27120.0,None,Moderate-term on-the-job training
Food preparation workers,35-2021,Individual Jobs,871.1,939.7,0.6,0.6,68.6,7.9,157.7,3.0,No formal educational credential,21440.0,None,Short-term on-the-job training
Food and beverage serving workers,35-3000,Job Categories,7432.9,8260.4,4.8,4.9,827.6,11.1,1517.2,2.0,—,19750.0,—,—
Bartenders,35-3011,Individual Jobs,611.2,626.3,0.4,0.4,15.1,2.5,102.3,3.0,No formal educational credential,20800.0,None,Short-term on-the-job training
Fast food and counter workers,35-3020,Job Categories,3957.5,4560.4,2.5,2.7,603.0,15.2,849.1,3.0,—,19500.0,—,—
"Combined food preparation and serving workers, including fast food",35-3021,Individual Jobs,3452.2,4032.1,2.2,2.4,579.9,16.8,736.0,4.0,No formal educational credential,19440.0,None,Short-term on-the-job training
"Counter attendants, cafeteria, food concession, and coffee shop",35-3022,Individual Jobs,505.2,528.3,0.3,0.3,23.1,4.6,113.2,4.0,No formal educational credential,19970.0,None,Short-term on-the-job training
Waiters and waitresses,35-3031,Individual Jobs,2600.5,2783.0,1.7,1.7,182.5,7.0,522.7,3.0,No formal educational credential,19990.0,None,Short-term on-the-job training
"Food servers, nonrestaurant",35-3041,Individual Jobs,263.8,290.7,0.2,0.2,26.9,10.2,43.1,3.0,No formal educational credential,21240.0,None,Short-term on-the-job training
Other food preparation and serving related workers,35-9000,Job Categories,1415.7,1502.3,0.9,0.9,86.6,6.1,270.3,2.0,—,20310.0,—,—
Dining room and cafeteria attendants and bartender helpers,35-9011,Individual Jobs,431.2,461.7,0.3,0.3,30.5,7.1,78.2,3.0,No formal educational credential,20200.0,None,Short-term on-the-job training
Dishwashers,35-9021,Individual Jobs,514.3,536.6,0.3,0.3,22.2,4.3,83.0,3.0,No formal educational credential,20800.0,None,Short-term on-the-job training
"Hosts and hostesses, restaurant, lounge, and coffee shop",35-9031,Individual Jobs,409.2,437.5,0.3,0.3,28.3,6.9,97.9,3.0,No formal educational credential,19980.0,None,Short-term on-the-job training
"Food preparation and serving related workers, all other",35-9099,Individual Jobs,60.9,66.5,0.0,0.0,5.6,9.3,11.3,3.0,No formal educational credential,21090.0,None,Short-term on-the-job training
Building and grounds cleaning and maintenance occupations,37-0000,Job Categories,5654.1,6177.9,3.6,3.7,523.8,9.3,788.4,1.0,—,24700.0,—,—
Supervisors of building and grounds cleaning and maintenance workers,37-1000,Job Categories,421.8,466.3,0.3,0.3,44.5,10.5,50.3,2.0,—,40880.0,—,—
First-line supervisors of housekeeping and janitorial workers,37-1011,Individual Jobs,243.5,267.6,0.2,0.2,24.1,9.9,30.8,3.0,High school diploma or equivalent,38190.0,Less than 5 years,None
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",37-1012,Individual Jobs,178.3,198.6,0.1,0.1,20.3,11.4,19.5,3.0,High school diploma or equivalent,45740.0,Less than 5 years,None
Building cleaning and pest control workers,37-2000,Job Categories,3923.0,4255.9,2.5,2.5,333.0,8.5,560.2,2.0,—,23560.0,—,—
Building cleaning workers,37-2010,Job Categories,3844.0,4170.5,2.5,2.5,326.5,8.5,548.5,3.0,—,23420.0,—,—
"Janitors and cleaners, except maids and housekeeping cleaners",37-2011,Individual Jobs,2384.6,2621.2,1.5,1.6,236.5,9.9,344.1,4.0,No formal educational credential,24190.0,None,Short-term on-the-job training
Maids and housekeeping cleaners,37-2012,Individual Jobs,1443.2,1531.0,0.9,0.9,87.9,6.1,202.0,4.0,No formal educational credential,21820.0,None,Short-term on-the-job training
"Building cleaning workers, all other",37-2019,Individual Jobs,16.2,18.3,0.0,0.0,2.1,12.8,2.4,4.0,No formal educational credential,29700.0,None,Short-term on-the-job training
Pest control workers,37-2021,Individual Jobs,78.9,85.4,0.1,0.1,6.5,8.2,11.7,3.0,High school diploma or equivalent,33040.0,None,Moderate-term on-the-job training
Grounds maintenance workers,37-3000,Job Categories,1309.3,1455.6,0.8,0.9,146.3,11.2,177.9,2.0,—,26830.0,—,—
Landscaping and groundskeeping workers,37-3011,Individual Jobs,1197.9,1333.1,0.8,0.8,135.2,11.3,163.0,3.0,No formal educational credential,26320.0,None,Short-term on-the-job training
"Pesticide handlers, sprayers, and applicators, vegetation",37-3012,Individual Jobs,38.0,41.0,0.0,0.0,3.0,7.8,5.0,3.0,High school diploma or equivalent,33740.0,None,Moderate-term on-the-job training
Tree trimmers and pruners,37-3013,Individual Jobs,54.5,60.9,0.0,0.0,6.4,11.7,7.5,3.0,High school diploma or equivalent,35030.0,None,Short-term on-the-job training
"Grounds maintenance workers, all other",37-3019,Individual Jobs,18.9,20.6,0.0,0.0,1.7,9.2,2.5,3.0,No formal educational credential,28470.0,None,Short-term on-the-job training
Personal care and service occupations,39-0000,Job Categories,6419.7,7647.4,4.1,4.6,1227.6,19.1,1140.9,1.0,—,22710.0,—,—
Supervisors of personal care and service workers,39-1000,Job Categories,326.7,369.1,0.2,0.2,42.4,13.0,39.7,2.0,—,37690.0,—,—
First-line supervisors of gaming workers,39-1010,Job Categories,50.6,52.6,0.0,0.0,2.1,4.1,8.2,3.0,—,46810.0,—,—
Gaming supervisors,39-1011,Individual Jobs,38.5,40.0,0.0,0.0,1.5,3.9,6.2,4.0,High school diploma or equivalent,50520.0,Less than 5 years,None
Slot supervisors,39-1012,Individual Jobs,12.1,12.6,0.0,0.0,0.6,4.6,2.0,4.0,High school diploma or equivalent,36080.0,Less than 5 years,None
First-line supervisors of personal service workers,39-1021,Individual Jobs,276.1,316.5,0.2,0.2,40.3,14.6,31.6,3.0,High school diploma or equivalent,36700.0,Less than 5 years,None
Animal care and service workers,39-2000,Job Categories,296.4,361.0,0.2,0.2,64.6,21.8,53.2,2.0,—,22230.0,—,—
Animal trainers,39-2011,Individual Jobs,54.9,61.0,0.0,0.0,6.1,11.2,7.0,3.0,High school diploma or equivalent,27690.0,None,Moderate-term on-the-job training
Nonfarm animal caretakers,39-2021,Individual Jobs,241.5,300.0,0.2,0.2,58.5,24.2,46.2,3.0,High school diploma or equivalent,21990.0,None,Short-term on-the-job training
Entertainment attendants and related workers,39-3000,Job Categories,584.3,625.9,0.4,0.4,41.7,7.1,132.3,2.0,—,20110.0,—,—
Gaming services workers,39-3010,Job Categories,121.0,122.7,0.1,0.1,1.7,1.4,18.1,3.0,—,19670.0,—,—
Gaming dealers,39-3011,Individual Jobs,96.9,98.0,0.1,0.1,1.1,1.2,14.5,4.0,High school diploma or equivalent,19290.0,None,Short-term on-the-job training
Gaming and sports book writers and runners,39-3012,Individual Jobs,11.7,12.1,0.0,0.0,0.4,3.8,1.8,4.0,High school diploma or equivalent,22600.0,None,Short-term on-the-job training
"Gaming service workers, all other",39-3019,Individual Jobs,12.5,12.6,0.0,0.0,0.1,0.7,1.9,4.0,High school diploma or equivalent,24880.0,None,Short-term on-the-job training
Motion picture projectionists,39-3021,Individual Jobs,5.8,5.2,0.0,0.0,-0.6,-9.7,0.6,3.0,No formal educational credential,22100.0,None,Short-term on-the-job training
"Ushers, lobby attendants, and ticket takers",39-3031,Individual Jobs,117.7,126.4,0.1,0.1,8.8,7.5,30.5,3.0,No formal educational credential,19920.0,None,Short-term on-the-job training
Miscellaneous entertainment attendants and related workers,39-3090,Job Categories,339.8,371.6,0.2,0.2,31.8,9.4,83.0,3.0,—,20610.0,—,—
Amusement and recreation attendants,39-3091,Individual Jobs,300.0,327.9,0.2,0.2,27.8,9.3,73.2,4.0,No formal educational credential,20160.0,None,Short-term on-the-job training
Costume attendants,39-3092,Individual Jobs,6.6,7.3,0.0,0.0,0.6,9.7,1.6,4.0,High school diploma or equivalent,45900.0,None,Short-term on-the-job training
"Locker room, coatroom, and dressing room attendants",39-3093,Individual Jobs,18.6,20.3,0.0,0.0,1.6,8.7,4.5,4.0,High school diploma or equivalent,21720.0,None,Short-term on-the-job training
"Entertainment attendants and related workers, all other",39-3099,Individual Jobs,14.6,16.2,0.0,0.0,1.7,11.4,3.6,4.0,High school diploma or equivalent,23270.0,None,Short-term on-the-job training
Funeral service workers,39-4000,Job Categories,68.5,70.6,0.0,0.0,2.1,3.0,9.8,2.0,—,32080.0,—,—
Embalmers,39-4011,Individual Jobs,3.7,3.7,0.0,0.0,0.0,-0.8,0.6,3.0,Associate's degree,40150.0,None,Long-term on-the-job training
Funeral attendants,39-4021,Individual Jobs,36.1,37.0,0.0,0.0,1.0,2.7,5.6,3.0,High school diploma or equivalent,24830.0,None,Short-term on-the-job training
"Morticians, undertakers, and funeral directors",39-4031,Individual Jobs,28.7,29.8,0.0,0.0,1.1,3.9,3.7,3.0,Associate's degree,50090.0,None,Long-term on-the-job training
Personal appearance workers,39-5000,Job Categories,887.3,1003.6,0.6,0.6,116.3,13.1,119.0,2.0,—,23880.0,—,—
"Barbers, hairdressers, hairstylists and cosmetologists",39-5010,Job Categories,673.7,761.4,0.4,0.5,87.6,13.0,90.9,3.0,—,24300.0,—,—
Barbers,39-5011,Individual Jobs,56.4,64.0,0.0,0.0,7.6,13.4,6.2,4.0,Postsecondary nondegree award,25760.0,None,None
"Hairdressers, hairstylists, and cosmetologists",39-5012,Individual Jobs,617.3,697.4,0.4,0.4,80.1,13.0,84.7,4.0,Postsecondary nondegree award,24260.0,None,None
Miscellaneous personal appearance workers,39-5090,Job Categories,213.6,242.2,0.1,0.1,28.6,13.4,28.2,3.0,—,23130.0,—,—
"Makeup artists, theatrical and performance",39-5091,Individual Jobs,4.8,5.4,0.0,0.0,0.6,12.5,0.6,4.0,Postsecondary nondegree award,60970.0,None,None
Manicurists and pedicurists,39-5092,Individual Jobs,126.3,143.0,0.1,0.1,16.7,13.2,16.6,4.0,Postsecondary nondegree award,22150.0,None,None
Shampooers,39-5093,Individual Jobs,21.2,24.1,0.0,0.0,2.8,13.4,2.8,4.0,No formal educational credential,19700.0,None,Short-term on-the-job training
Skincare specialists,39-5094,Individual Jobs,61.3,69.7,0.0,0.0,8.5,13.8,8.1,4.0,Postsecondary nondegree award,30270.0,None,None
"Baggage porters, bellhops, and concierges",39-6000,Job Categories,77.6,85.0,0.0,0.1,7.4,9.5,11.8,2.0,—,24710.0,—,—
Baggage porters and bellhops,39-6011,Individual Jobs,45.1,48.8,0.0,0.0,3.7,8.2,6.7,3.0,High school diploma or equivalent,22260.0,None,Short-term on-the-job training
Concierges,39-6012,Individual Jobs,32.5,36.2,0.0,0.0,3.7,11.3,5.0,3.0,High school diploma or equivalent,29250.0,None,Moderate-term on-the-job training
Tour and travel guides,39-7000,Job Categories,49.4,54.3,0.0,0.0,4.9,9.9,9.4,2.0,—,25370.0,—,—
Tour guides and escorts,39-7011,Individual Jobs,45.8,50.6,0.0,0.0,4.7,10.3,8.7,3.0,High school diploma or equivalent,24920.0,None,Moderate-term on-the-job training
Travel guides,39-7012,Individual Jobs,3.6,3.8,0.0,0.0,0.2,4.9,0.6,3.0,High school diploma or equivalent,32100.0,None,Moderate-term on-the-job training
Other personal care and service workers,39-9000,Job Categories,4129.5,5077.9,2.6,3.0,948.4,23.0,765.7,2.0,—,22520.0,—,—
Childcare workers,39-9011,Individual Jobs,1216.6,1300.9,0.8,0.8,84.3,6.9,189.1,3.0,High school diploma or equivalent,21170.0,None,Short-term on-the-job training
Personal care aides,39-9021,Individual Jobs,2016.1,2793.8,1.3,1.7,777.6,38.6,414.3,3.0,High school diploma or equivalent,21920.0,None,Short-term on-the-job training
Recreation and fitness workers,39-9030,Job Categories,689.1,753.2,0.4,0.4,64.0,9.3,125.7,3.0,—,27570.0,—,—
Fitness trainers and aerobics instructors,39-9031,Individual Jobs,299.2,329.2,0.2,0.2,30.1,10.1,55.0,4.0,High school diploma or equivalent,38160.0,None,Short-term on-the-job training
Recreation workers,39-9032,Individual Jobs,390.0,423.9,0.2,0.3,34.0,8.7,70.7,4.0,High school diploma or equivalent,23870.0,None,Short-term on-the-job training
Residential advisors,39-9041,Individual Jobs,118.8,134.1,0.1,0.1,15.3,12.9,22.5,3.0,High school diploma or equivalent,25570.0,None,Short-term on-the-job training
"Personal care and service workers, all other",39-9099,Individual Jobs,88.9,95.9,0.1,0.1,7.0,7.9,14.1,3.0,High school diploma or equivalent,25420.0,None,Short-term on-the-job training
Sales and related occupations,41-0000,Job Categories,15747.8,16206.5,10.1,9.7,458.7,2.9,2201.1,1.0,—,26590.0,—,—
Supervisors of sales workers,41-1000,Job Categories,1937.6,2015.3,1.2,1.2,77.7,4.0,207.4,2.0,—,42250.0,—,—
First-line supervisors of retail sales workers,41-1011,Individual Jobs,1532.4,1590.1,1.0,0.9,57.7,3.8,168.5,3.0,High school diploma or equivalent,39040.0,Less than 5 years,None
First-line supervisors of non-retail sales workers,41-1012,Individual Jobs,405.2,425.2,0.3,0.3,20.0,4.9,39.0,3.0,High school diploma or equivalent,73150.0,Less than 5 years,None
Retail sales workers,41-2000,Job Categories,8891.5,8978.8,5.7,5.4,87.3,1.0,1423.1,2.0,—,21570.0,—,—
Cashiers,41-2010,Job Categories,3578.9,3548.9,2.3,2.1,-30.0,-0.8,658.2,3.0,—,20200.0,—,—
Cashiers,41-2011,Individual Jobs,3555.5,3524.9,2.3,2.1,-30.6,-0.9,653.7,4.0,No formal educational credential,20180.0,None,Short-term on-the-job training
Gaming change persons and booth cashiers,41-2012,Individual Jobs,23.4,24.0,0.0,0.0,0.6,2.6,4.5,4.0,No formal educational credential,23780.0,None,Short-term on-the-job training
Counter and rental clerks and parts salespersons,41-2020,Job Categories,710.1,747.7,0.5,0.4,37.7,5.3,94.7,3.0,—,27030.0,—,—
Counter and rental clerks,41-2021,Individual Jobs,458.2,483.2,0.3,0.3,25.0,5.5,61.8,4.0,No formal educational credential,25550.0,None,Short-term on-the-job training
Parts salespersons,41-2022,Individual Jobs,251.9,264.5,0.2,0.2,12.7,5.0,32.9,4.0,No formal educational credential,29780.0,None,Moderate-term on-the-job training
Retail salespersons,41-2031,Individual Jobs,4602.5,4682.1,2.9,2.8,79.7,1.7,670.3,3.0,No formal educational credential,22680.0,None,Short-term on-the-job training
"Sales representatives, services",41-3000,Job Categories,2091.8,2244.8,1.3,1.3,153.0,7.3,249.2,2.0,—,52600.0,—,—
Advertising sales agents,41-3011,Individual Jobs,149.9,144.5,0.1,0.1,-5.4,-3.6,17.7,3.0,High school diploma or equivalent,50380.0,None,Moderate-term on-the-job training
Insurance sales agents,41-3021,Individual Jobs,501.4,551.2,0.3,0.3,49.8,9.9,54.7,3.0,High school diploma or equivalent,49990.0,None,Moderate-term on-the-job training
"Securities, commodities, and financial services sales agents",41-3031,Individual Jobs,375.7,398.9,0.2,0.2,23.3,6.2,38.0,3.0,Bachelor's degree,67310.0,None,Moderate-term on-the-job training
Travel agents,41-3041,Individual Jobs,81.7,72.2,0.1,0.0,-9.5,-11.7,7.8,3.0,High school diploma or equivalent,36460.0,None,Moderate-term on-the-job training
"Sales representatives, services, all other",41-3099,Individual Jobs,983.0,1077.9,0.6,0.6,94.9,9.7,131.0,3.0,High school diploma or equivalent,52490.0,None,Moderate-term on-the-job training
"Sales representatives, wholesale and manufacturing",41-4000,Job Categories,1813.5,1907.6,1.2,1.1,94.1,5.2,195.4,2.0,—,60530.0,—,—
"Sales representatives, wholesale and manufacturing, technical and scientific products",41-4011,Individual Jobs,343.6,361.3,0.2,0.2,17.6,5.1,37.0,3.0,Bachelor's degree,78980.0,None,Moderate-term on-the-job training
"Sales representatives, wholesale and manufacturing, except technical and scientific products",41-4012,Individual Jobs,1469.9,1546.3,0.9,0.9,76.4,5.2,158.4,3.0,High school diploma or equivalent,57140.0,None,Moderate-term on-the-job training
Other sales and related workers,41-9000,Job Categories,1013.4,1060.0,0.6,0.6,46.5,4.6,125.9,2.0,—,32550.0,—,—
"Models, demonstrators, and product promoters",41-9010,Job Categories,99.5,105.7,0.1,0.1,6.2,6.2,17.9,3.0,—,25580.0,—,—
Demonstrators and product promoters,41-9011,Individual Jobs,94.7,100.9,0.1,0.1,6.2,6.6,17.1,4.0,No formal educational credential,25610.0,None,Short-term on-the-job training
Models,41-9012,Individual Jobs,4.8,4.8,0.0,0.0,-0.1,-1.3,0.8,4.0,No formal educational credential,21870.0,None,None
Real estate brokers and sales agents,41-9020,Job Categories,444.1,469.0,0.3,0.3,24.9,5.6,43.7,3.0,—,46410.0,—,—
Real estate brokers,41-9021,Individual Jobs,95.3,100.0,0.1,0.1,4.7,4.9,9.3,4.0,High school diploma or equivalent,56790.0,Less than 5 years,None
Real estate sales agents,41-9022,Individual Jobs,348.8,369.0,0.2,0.2,20.2,5.8,34.4,4.0,High school diploma or equivalent,44090.0,None,Moderate-term on-the-job training
Sales engineers,41-9031,Individual Jobs,74.9,80.1,0.0,0.0,5.2,6.9,8.3,3.0,Bachelor's degree,100000.0,None,Moderate-term on-the-job training
Telemarketers,41-9041,Individual Jobs,216.6,216.6,0.1,0.1,0.0,0.0,33.3,3.0,No formal educational credential,24300.0,None,Short-term on-the-job training
Miscellaneous sales and related workers,41-9090,Job Categories,178.3,188.6,0.1,0.1,10.3,5.8,22.7,3.0,—,35880.0,—,—
"Door-to-door sales workers, news and street vendors, and related workers",41-9091,Individual Jobs,82.4,82.4,0.1,0.0,0.1,0.1,8.6,4.0,No formal educational credential,24330.0,None,Short-term on-the-job training
"Sales and related workers, all other",41-9099,Individual Jobs,95.9,106.1,0.1,0.1,10.2,10.6,14.1,4.0,High school diploma or equivalent,37190.0,None,None
Office and administrative support occupations,43-0000,Job Categories,23081.2,23230.8,14.8,13.9,149.6,0.6,2596.4,1.0,—,34050.0,—,—
Supervisors of office and administrative support workers,43-1000,Job Categories,1506.3,1557.4,1.0,0.9,51.2,3.4,153.0,2.0,—,54340.0,—,—
First-line supervisors of office and administrative support workers,43-1011,Individual Jobs,1506.3,1557.4,1.0,0.9,51.2,3.4,153.0,3.0,High school diploma or equivalent,54340.0,Less than 5 years,None
Communications equipment operators,43-2000,Job Categories,104.7,84.4,0.1,0.1,-20.3,-19.4,10.2,2.0,—,28640.0,—,—
"Switchboard operators, including answering service",43-2011,Individual Jobs,93.2,74.7,0.1,0.0,-18.5,-19.9,9.0,3.0,High school diploma or equivalent,28030.0,None,Short-term on-the-job training
Telephone operators,43-2021,Individual Jobs,9.1,7.0,0.0,0.0,-2.0,-22.6,0.9,3.0,High school diploma or equivalent,37000.0,None,Short-term on-the-job training
"Communications equipment operators, all other",43-2099,Individual Jobs,2.4,2.6,0.0,0.0,0.2,10.4,0.3,3.0,High school diploma or equivalent,39640.0,None,Short-term on-the-job training
Financial clerks,43-3000,Job Categories,3336.6,3330.4,2.1,2.0,-6.3,-0.2,358.5,2.0,—,35840.0,—,—
Bill and account collectors,43-3011,Individual Jobs,305.7,296.7,0.2,0.2,-9.1,-3.0,30.2,3.0,High school diploma or equivalent,35350.0,None,Moderate-term on-the-job training
Billing and posting clerks,43-3021,Individual Jobs,501.0,571.6,0.3,0.3,70.7,14.1,59.5,3.0,High school diploma or equivalent,36150.0,None,Moderate-term on-the-job training
"Bookkeeping, accounting, and auditing clerks",43-3031,Individual Jobs,1730.5,1705.3,1.1,1.0,-25.2,-1.5,186.4,3.0,"Some college, no degree",38390.0,None,Moderate-term on-the-job training
Gaming cage workers,43-3041,Individual Jobs,19.0,19.3,0.0,0.0,0.3,1.4,3.0,3.0,High school diploma or equivalent,25990.0,None,Short-term on-the-job training
Payroll and timekeeping clerks,43-3051,Individual Jobs,166.3,164.7,0.1,0.1,-1.6,-0.9,16.1,3.0,High school diploma or equivalent,42390.0,None,Moderate-term on-the-job training
Procurement clerks,43-3061,Individual Jobs,74.9,71.7,0.0,0.0,-3.2,-4.3,7.5,3.0,High school diploma or equivalent,41410.0,None,Moderate-term on-the-job training
Tellers,43-3071,Individual Jobs,502.7,460.9,0.3,0.3,-41.8,-8.3,51.5,3.0,High school diploma or equivalent,27260.0,None,Short-term on-the-job training
"Financial clerks, all other",43-3099,Individual Jobs,36.6,40.2,0.0,0.0,3.6,9.9,4.3,3.0,High school diploma or equivalent,39540.0,None,Short-term on-the-job training
Information and record clerks,43-4000,Job Categories,5830.0,6137.9,3.7,3.7,307.9,5.3,760.0,2.0,—,31690.0,—,—
Brokerage clerks,43-4011,Individual Jobs,60.4,63.4,0.0,0.0,3.0,5.0,6.6,3.0,High school diploma or equivalent,49200.0,None,Moderate-term on-the-job training
Correspondence clerks,43-4021,Individual Jobs,7.2,7.4,0.0,0.0,0.2,2.1,0.8,3.0,High school diploma or equivalent,36370.0,None,Short-term on-the-job training
"Court, municipal, and license clerks",43-4031,Individual Jobs,135.5,144.2,0.1,0.1,8.8,6.5,12.6,3.0,High school diploma or equivalent,36670.0,None,Moderate-term on-the-job training
